# ion_class=KCa, nodes=154, copies_total=456
node_id,name,ion_class,copies,unique_ids
795,149100_SK_E2-ID-1,KCa,79,149100_SK_E2-ID-1;180373_SK_E2-ID-1;180373_SK_E2-ID-2;156780_SK_E2-ID-1;225311_SK_E2-ID-1;224923_SK_E2-ID-1;231427_SK_E2-ID-1;230326_SK_E2-ID-1;229276_SK_E2-ID-1;241165_SK_E2-ID-25;241165_SK_E2-ID-4;241165_SK_E2-ID-14;241165_SK_E2-ID-8;241165_SK_E2-ID-15;241165_SK_E2-ID-18;241165_SK_E2-ID-12;241165_SK_E2-ID-17;241165_SK_E2-ID-1;241165_SK_E2-ID-13;241165_SK_E2-ID-19;241165_SK_E2-ID-24;241165_SK_E2-ID-20;241165_SK_E2-ID-22;241165_SK_E2-ID-21;241165_SK_E2-ID-6;241165_SK_E2-ID-7;241165_SK_E2-ID-16;241165_SK_E2-ID-10;241165_SK_E2-ID-26;241165_SK_E2-ID-23;241165_SK_E2-ID-3;241165_SK_E2-ID-2;241165_SK_E2-ID-9;241165_SK_E2-ID-11;241165_SK_E2-ID-5;251493_SK_E2-ID-1;239145_SK_E2-ID-1;261460_SK_E2-ID-1;260971_SK_E2-ID-6;260971_SK_E2-ID-1;260971_SK_E2-ID-4;260971_SK_E2-ID-3;260971_SK_E2-ID-2;260971_SK_E2-ID-5;266984_SK_E2-ID-1;266851_SK_E2-ID-2;267067_SK_E2-ID-2;267067_SK_E2-ID-1;266851_SK_E2-ID-1;266851_SK_E2-ID-3;267691_SK_E2-ID-8;267691_SK_E2-ID-15;267691_SK_E2-ID-1;267691_SK_E2-ID-22;267691_SK_E2-ID-21;267691_SK_E2-ID-14;267691_SK_E2-ID-12;267691_SK_E2-ID-5;267691_SK_E2-ID-24;267691_SK_E2-ID-11;267691_SK_E2-ID-13;267691_SK_E2-ID-26;267691_SK_E2-ID-18;267691_SK_E2-ID-2;267691_SK_E2-ID-23;267691_SK_E2-ID-20;267691_SK_E2-ID-17;267691_SK_E2-ID-10;267691_SK_E2-ID-3;267691_SK_E2-ID-7;267691_SK_E2-ID-9;267691_SK_E2-ID-4;267691_SK_E2-ID-25;267384_SK_E2-ID-1;267691_SK_E2-ID-19;267691_SK_E2-ID-6;267691_SK_E2-ID-16;249705_SK_E2-ID-1;267511_SK_E2-ID-1
860,101629_KahpM95-ID-1,KCa,10,101629_KahpM95-ID-1;112546_KahpM95-ID-1;118986_KahpM95-ID-1;126814_KahpM95-ID-1;137259_KahpM95-ID-1;144392_KahpM95-ID-1;148094_KahpM95-ID-1;181967_KahpM95-ID-1;223649_KahpM95-ID-1;267298_KahpM95-ID-1
886,84612_kca-ID-1,KCa,3,84612_kca-ID-1;84612_kca-ID-2;112359_kca-ID-1
921,120910_gkcadend-ID-1,KCa,1,120910_gkcadend-ID-1
944,102288_IKCa-ID-1,KCa,2,102288_IKCa-ID-1;182797_IKCa-ID-1
976,97860_sk_dop-ID-1,KCa,1,97860_sk_dop-ID-1
991,97860_bk_dop-ID-1,KCa,1,97860_bk_dop-ID-1
992,123897_kca-ID-1,KCa,5,123897_kca-ID-1;206398_kca-ID-1;237594_kca-ID-1;241160_kca-ID-1;267355_Kca-ID-1
1049,51781_gskch-ID-1,KCa,3,51781_gskch-ID-1;124513_gskch-ID-1;155568_gskch-ID-1
1052,124513_CaBK-ID-1,KCa,1,124513_CaBK-ID-1
1109,82784_Kc-ID-1,KCa,1,82784_Kc-ID-1
1115,20756_kahp-ID-1,KCa,4,20756_kahp-ID-1;144482_kahp-ID-1;168858_kahp-ID-1;184497_kahp-ID-1
1182,53876_ahp-ID-1,KCa,1,53876_ahp-ID-1
1243,112685_Golgi_SK2-ID-1,KCa,3,112685_Golgi_SK2-ID-1;127021_Golgi_SK2-ID-1;139656_Golgi_SK2-ID-1
1252,116835_GRC_KCA-ID-1,KCa,5,116835_GRC_KCA-ID-1;139883_GRC_KCA-ID-1;139656_GRC_KCA-ID-1;206267_GRC_KCA-ID-1;267189_GRC_KCA-ID-1
1258,112685_Golgi_BK-ID-1,KCa,3,112685_Golgi_BK-ID-1;127021_Golgi_BK-ID-1;139656_Golgi_BK-ID-1
1264,144450_kca-ID-1,KCa,1,144450_kca-ID-1
1266,144450_kct-ID-1,KCa,1,144450_kct-ID-1
1285,143719_kca-ID-1,KCa,4,143719_kca-ID-1;147757_kca-ID-1;151126_kca-ID-1;256388_kca-ID-1
1336,128559_iKCa-ID-1,KCa,3,128559_iKCa-ID-1;168414_iKCa-ID-1;267056_iKCa-ID-1
1344,2730_kca-ID-1,KCa,4,2730_kca-ID-1;64229_kca-ID-1;116094_kca-ID-1;116094_kca-ID-2
1370,153280_ch_KvCaB-ID-1,KCa,1,153280_ch_KvCaB-ID-1
1376,153280_ch_KCaS-ID-1,KCa,1,153280_ch_KCaS-ID-1
1450,138382_mslo-ID-1,KCa,1,138382_mslo-ID-1
1459,138382_SK2-ID-1,KCa,2,138382_SK2-ID-1;244679_SK2-ID-1
1463,3808_ic-ID-1,KCa,6,3808_ic-ID-1;121600_ic-ID-2;121600_ic-ID-1;232876_ic-ID-3;232876_ic-ID-1;232876_ic-ID-2
1504,144385_kca-ID-1,KCa,3,144385_kca-ID-1;2488_kca-ID-1;260015_kca-ID-1
1606,121060_chan_SKKCa-ID-1,KCa,2,121060_chan_SKKCa-ID-1;267508_chan_SKKCa-ID-1
1611,121060_chan_BKKCa-ID-1,KCa,2,121060_chan_BKKCa-ID-1;267508_chan_BKKCa-ID-1
1633,116096_kca-ID-1,KCa,2,116096_kca-ID-1;144482_kca-ID-1
1778,140249_iahp-ID-1,KCa,2,140249_iahp-ID-1;156039_iahp-ID-1
1829,64228_Kca-ID-1,KCa,1,64228_Kca-ID-1
1848,12631_IAHP_destexhe-ID-1,KCa,1,12631_IAHP_destexhe-ID-1
1886,48332_bkpkj-ID-1,KCa,2,48332_bkpkj-ID-1;155735_bkpkj-ID-1
1929,114359_kca-ID-1,KCa,1,114359_kca-ID-1
1969,3263_kahp-ID-1,KCa,5,3263_kahp-ID-1;147867_kahp-ID-1;151482_kahp-ID-1;181967_kahp-ID-1;266823_kahp-ID-1
1971,3263_cagk-ID-1,KCa,4,3263_cagk-ID-1;147867_cagk-ID-1;151482_cagk-ID-1;266823_cagk-ID-1
2062,53451_kca-ID-1,KCa,1,53451_kca-ID-1
2093,139421_kcaolmw-ID-1,KCa,4,139421_kcaolmw-ID-1;151282_kcaolmw-ID-1;186768_kcaolmw-ID-1;258738_kcaolmw-ID-1
2097,135902_kahppr-ID-1,KCa,7,135902_kahppr-ID-1;139421_kahppr-ID-1;135903_kahppr-ID-1;186768_kahppr-ID-1;182134_kahppr-ID-1;230861_kahppr-ID-1;258738_kahppr-ID-1
2099,135902_kcpr-ID-1,KCa,7,135902_kcpr-ID-1;135903_kcpr-ID-1;139421_kcpr-ID-1;186768_kcpr-ID-1;182134_kcpr-ID-1;230861_kcpr-ID-1;258738_kcpr-ID-1
2143,52034_kca-ID-1,KCa,3,52034_kca-ID-1;64229_kca-ID-3;64229_kca-ID-2
2160,64229_kcRT03-ID-1,KCa,1,64229_kcRT03-ID-1
2177,64229_kcRT03-ID-2,KCa,1,64229_kcRT03-ID-2
2184,149739_KCa-ID-1,KCa,3,149739_KCa-ID-1;183300_KCa-ID-1;232097_KCa-ID-1
2211,150284_skkca-ID-1,KCa,1,150284_skkca-ID-1
2254,2733_kca3-ID-1,KCa,2,2733_kca3-ID-1;153574_kca3-ID-1
2277,115356_KCT-ID-1,KCa,3,115356_KCT-ID-1;123927_KCT-ID-1;125152_KCT-ID-1
2279,115356_KAHP-ID-1,KCa,3,115356_KAHP-ID-1;123927_KAHP-ID-1;125152_KAHP-ID-1
2294,151443_mAHP-ID-1,KCa,1,151443_mAHP-ID-1
2311,9889_IAHP_destexhe-ID-1,KCa,1,9889_IAHP_destexhe-ID-1
2333,135902_kcaolmw-ID-1,KCa,4,135902_kcaolmw-ID-1;135903_kcaolmw-ID-1;182134_kcaolmw-ID-1;230861_kcaolmw-ID-1
2358,46839_Grc_kca-ID-1,KCa,1,46839_Grc_kca-ID-1
2366,143671_mAHP-ID-1,KCa,5,143671_mAHP-ID-1;183949_mAHP-ID-1;180370_mAHP-ID-1;217882_mAHP-ID-1;239582_mAHP-ID-1
2369,143671_kca2-ID-1,KCa,4,143671_kca2-ID-1;183949_kca2-ID-1;180370_kca2-ID-1;217882_kca2-ID-1
2395,2487_kca3-ID-1,KCa,3,2487_kca3-ID-1;64296_kca3-ID-1;223649_kca3-ID-1
2469,116740_CadepK-ID-1,KCa,1,116740_CadepK-ID-1
2475,146030_KCa3_ChannelML_new-ID-1,KCa,1,146030_KCa3_ChannelML_new-ID-1
2505,123453_KCa1-ID-1,KCa,1,123453_KCa1-ID-1
2586,151825_SK-ID-1,KCa,1,151825_SK-ID-1
2591,151825_BK-ID-1,KCa,1,151825_BK-ID-1
2608,83344_kca-ID-1,KCa,9,83344_kca-ID-1;108459_kca-ID-1;124043_kca-ID-1;138321_kca-ID-1;146565_kca-ID-1;187603_kca-ID-1;266844_kca-ID-1;266844_kca-ID-3;266844_kca-ID-2
2654,114685_SK-ID-1,KCa,1,114685_SK-ID-1
2682,154732_cagk-ID-1,KCa,1,154732_cagk-ID-1
2727,19591_Icinst-ID-1,KCa,1,19591_Icinst-ID-1
2782,125385_skca-ID-1,KCa,1,125385_skca-ID-1
2790,83547_kca-ID-1,KCa,1,83547_kca-ID-1
2800,144526_Kca-ID-1,KCa,21,144526_Kca-ID-1;223955_Kca-ID-7;223955_Kca-ID-12;223955_Kca-ID-17;223955_Kca-ID-13;223955_Kca-ID-1;223955_Kca-ID-9;223955_Kca-ID-3;223955_Kca-ID-16;223955_Kca-ID-11;223955_Kca-ID-15;223955_Kca-ID-20;223955_Kca-ID-10;223955_Kca-ID-2;223955_Kca-ID-19;223955_Kca-ID-5;223955_Kca-ID-6;223955_Kca-ID-14;223955_Kca-ID-18;223955_Kca-ID-4;223955_Kca-ID-8
3109,124063_Rod_Kca-ID-1,KCa,1,124063_Rod_Kca-ID-1
3120,93321_kca-ID-1,KCa,1,93321_kca-ID-1
3149,143719_cagk-ID-1,KCa,4,143719_cagk-ID-1;147757_cagk-ID-1;151126_cagk-ID-1;244416_cagk-ID-1
3173,153196_kca-ID-1,KCa,1,153196_kca-ID-1
3238,37819_kca-ID-1,KCa,1,37819_kca-ID-1
3241,37819_Iahp-ID-1,KCa,3,37819_Iahp-ID-1;116862_Iahp-ID-1;136095_Iahp-ID-1
3264,105385_bk_gp-ID-1,KCa,1,105385_bk_gp-ID-1
3278,105385_sk_gp-ID-1,KCa,1,105385_sk_gp-ID-1
3291,143100_SK-ID-1,KCa,2,143100_SK-ID-1;267669_SK-ID-1
3471,144490_kca-ID-1,KCa,1,144490_kca-ID-1
3478,144490_cagk-ID-1,KCa,1,144490_cagk-ID-1
3514,144007_LGMD_KCa-ID-1,KCa,2,144007_LGMD_KCa-ID-1;144007_LGMD_KCa-ID-2
