# ion_class=Ih, nodes=128, copies_total=380
node_id,name,ion_class,copies,unique_ids
1405,185355_HCN-ID-1,Ih,1,185355_HCN-ID-1
1484,180789_hpkj-ID-1,Ih,2,180789_hpkj-ID-1;266578_hpkj-ID-1
1495,180789_cha-ID-1,Ih,2,180789_cha-ID-1;266578_cha-ID-1
1541,168310_hin-ID-1,Ih,9,168310_hin-ID-1;237595_hin-ID-1;237595_hin-ID-2;266851_hin-ID-1;266851_hin-ID-3;266851_hin-ID-4;266851_hin-ID-2;260015_hin-ID-1;267511_hin-ID-1
1677,7659_h-ID-1,Ih,1,7659_h-ID-1
1764,114394_h-ID-1,Ih,2,114394_h-ID-1;266851_h-ID-1
1774,187615_ih-ID-1,Ih,2,187615_ih-ID-1;249463_ih-ID-1
1782,140249_iar-ID-1,Ih,2,140249_iar-ID-1;156039_iar-ID-1
1833,64228_h-ID-1,Ih,1,64228_h-ID-1
1889,155735_ihpkj_cn-ID-1,Ih,1,155735_ihpkj_cn-ID-1
1890,48332_ihpkj-ID-1,Ih,2,48332_ihpkj-ID-1;155735_ihpkj-ID-1
1940,156120_h_chann-ID-1,Ih,2,156120_h_chann-ID-1;186977_h_chann-ID-2
1972,147867_h-ID-1,Ih,1,147867_h-ID-1
2015,20756_ar-ID-1,Ih,5,20756_ar-ID-1;113732_ar-ID-1;136803_ar-ID-1;144482_ar-ID-1;151685_ar-ID-1
2048,124063_Cone_ih-ID-1,Ih,2,124063_Cone_ih-ID-1;267646_Cone_ih-ID-1
2053,124063_Bip_ih-ID-1,Ih,2,124063_Bip_ih-ID-1;267646_Bip_ih-ID-1
2106,135902_ihpyrkop-ID-1,Ih,7,135902_ihpyrkop-ID-1;135903_ihpyrkop-ID-1;139421_ihpyrkop-ID-1;182134_ihpyrkop-ID-1;186768_ihpyrkop-ID-1;230861_ihpyrkop-ID-1;258738_ihpyrkop-ID-1
2109,135902_iholmkop-ID-1,Ih,7,135902_iholmkop-ID-1;139421_iholmkop-ID-1;135903_iholmkop-ID-1;182134_iholmkop-ID-1;186768_iholmkop-ID-1;230861_iholmkop-ID-1;258738_iholmkop-ID-1
2111,139421_iholmw-ID-1,Ih,2,139421_iholmw-ID-1;186768_iholmw-ID-1
2118,139421_CA1ih-ID-1,Ih,2,139421_CA1ih-ID-1;186768_CA1ih-ID-1
2135,64216_h-ID-1,Ih,1,64216_h-ID-1
2186,149739_hpg-ID-1,Ih,3,149739_hpg-ID-1;183300_hpg-ID-1;232097_hpg-ID-1
2215,101629_h-ID-1,Ih,8,101629_h-ID-1;112546_h-ID-1;118986_h-ID-1;137259_h-ID-1;126814_h-ID-1;144392_h-ID-1;148094_h-ID-1;223649_h-ID-3
2259,116983_h-ID-1,Ih,1,116983_h-ID-1
2288,115356_h-ID-1,Ih,3,115356_h-ID-1;123927_h-ID-1;125152_h-ID-1
2342,135902_iholmw-ID-1,Ih,4,135902_iholmw-ID-1;135903_iholmw-ID-1;182134_iholmw-ID-1;230861_iholmw-ID-1
2346,135902_CA1ih-ID-1,Ih,4,135902_CA1ih-ID-1;135903_CA1ih-ID-1;182134_ca1ih-ID-1;230861_ca1ih-ID-1
2368,143671_ghchan-ID-1,Ih,2,143671_ghchan-ID-1;180370_ghchan-ID-1
2398,64296_Ih-ID-1,Ih,3,64296_Ih-ID-1;183300_Ih-ID-1;223649_Ih-ID-1
2503,123453_HCN-ID-1,Ih,1,123453_HCN-ID-1
2518,150538_h-ID-1,Ih,1,150538_h-ID-1
2581,183949_ghchan-ID-1,Ih,2,183949_ghchan-ID-1;217882_ghchan-ID-1
2594,151825_ih-ID-1,Ih,1,151825_ih-ID-1
2602,64195_ih_stochastic-ID-1,Ih,1,64195_ih_stochastic-ID-1
2607,64195_ih-ID-1,Ih,2,64195_ih-ID-1;124043_ih-ID-1
2609,124043_h2-ID-1,Ih,1,124043_h2-ID-1
2614,124043_h-ID-1,Ih,2,124043_h-ID-1;146565_h-ID-1
2651,185858_Ih-ID-1,Ih,1,185858_Ih-ID-1
2662,114685_HCN-ID-1,Ih,1,114685_HCN-ID-1
