# ion_class=Other, nodes=3216, copies_total=6527
node_id,name,ion_class,copies,unique_ids
35,267595_CaDynamics-ID-1,Other,63,267595_CaDynamics-ID-1;267587_CaDynamics-ID-8;267587_CaDynamics-ID-11;184312_CaDynamics-ID-1;267587_CaDynamics-ID-5;184152_CaDynamics-ID-1;184161_CaDynamics-ID-1;184346_CaDynamics-ID-1;184305_CaDynamics-ID-1;184142_CaDynamics-ID-1;184344_CaDynamics-ID-1;184335_CaDynamics-ID-1;184314_CaDynamics-ID-2;184159_CaDynamics-ID-1;184299_CaDynamics-ID-1;267587_CaDynamics-ID-4;184274_CaDynamics-ID-1;184173_CaDynamics-ID-1;267587_CaDynamics-ID-1;184314_CaDynamics-ID-1;184168_CaDynamics-ID-1;184327_CaDynamics-ID-1;184231_CaDynamics-ID-1;184182_CaDynamics-ID-1;184202_CaDynamics-ID-1;184157_CaDynamics-ID-1;184350_CaDynamics-ID-1;184316_CaDynamics-ID-1;184325_CaDynamics-ID-1;267587_CaDynamics-ID-2;184339_CaDynamics-ID-1;184321_CaDynamics-ID-1;184337_CaDynamics-ID-1;267587_CaDynamics-ID-7;184329_CaDynamics-ID-1;184148_CaDynamics-ID-1;184303_CaDynamics-ID-1;184178_CaDynamics-ID-1;184180_CaDynamics-ID-1;267587_CaDynamics-ID-9;184176_CaDynamics-ID-1;184184_CaDynamics-ID-1;267587_CaDynamics-ID-6;184301_CaDynamics-ID-1;184319_CaDynamics-ID-1;184331_CaDynamics-ID-1;184166_CaDynamics-ID-1;184171_CaDynamics-ID-1;184186_CaDynamics-ID-1;267587_CaDynamics-ID-10;184308_CaDynamics-ID-1;184323_CaDynamics-ID-1;267587_CaDynamics-ID-3;184297_CaDynamics-ID-1;184196_CaDynamics-ID-1;184145_CaDynamics-ID-1;184348_CaDynamics-ID-1;184333_CaDynamics-ID-1;184341_CaDynamics-ID-1;267587_CaDynamics-ID-12;184352_CaDynamics-ID-1;184310_CaDynamics-ID-1;184163_CaDynamics-ID-1
36,184314_NaV-ID-2,Other,50,184314_NaV-ID-2;184163_NaV-ID-1;184184_NaV-ID-1;184196_NaV-ID-1;184303_NaV-ID-1;184310_NaV-ID-1;184186_NaV-ID-1;184297_NaV-ID-1;184148_NaV-ID-1;184314_NaV-ID-1;184325_NaV-ID-1;184157_NaV-ID-1;184337_NaV-ID-1;184331_NaV-ID-1;184182_NaV-ID-1;184176_NaV-ID-1;184180_NaV-ID-1;184142_NaV-ID-1;184319_NaV-ID-1;184341_NaV-ID-1;184333_NaV-ID-1;184173_NaV-ID-1;184346_NaV-ID-1;184327_NaV-ID-1;184312_NaV-ID-1;184329_NaV-ID-1;184171_NaV-ID-1;184145_NaV-ID-1;184344_NaV-ID-1;184321_NaV-ID-1;184335_NaV-ID-1;184231_NaV-ID-1;184301_NaV-ID-1;184352_NaV-ID-1;184348_NaV-ID-1;184305_NaV-ID-1;184202_NaV-ID-1;184159_NaV-ID-1;184350_NaV-ID-1;184316_NaV-ID-1;184168_NaV-ID-1;184178_NaV-ID-1;184166_NaV-ID-1;184308_NaV-ID-1;184339_NaV-ID-1;184299_NaV-ID-1;184152_NaV-ID-1;184274_NaV-ID-1;184323_NaV-ID-1;184161_NaV-ID-1
37,267595_Kv3_1-ID-1,Other,56,267595_Kv3_1-ID-1;184348_Kv3_1-ID-1;184299_Kv3_1-ID-1;184305_Kv3_1-ID-1;184178_Kv3_1-ID-1;184323_Kv3_1-ID-1;184182_Kv3_1-ID-1;184344_Kv3_1-ID-1;184314_Kv3_1-ID-1;184331_Kv3_1-ID-1;184346_Kv3_1-ID-1;184314_Kv3_1-ID-2;184142_Kv3_1-ID-1;267587_Kv3_1-ID-1;184329_Kv3_1-ID-1;184312_Kv3_1-ID-1;184301_Kv3_1-ID-1;184316_Kv3_1-ID-1;184297_Kv3_1-ID-1;184148_Kv3_1-ID-1;184321_Kv3_1-ID-1;184145_Kv3_1-ID-1;184186_Kv3_1-ID-1;184161_Kv3_1-ID-1;184352_Kv3_1-ID-1;184335_Kv3_1-ID-1;267587_Kv3_1-ID-3;184157_Kv3_1-ID-1;184168_Kv3_1-ID-1;184163_Kv3_1-ID-1;267587_Kv3_1-ID-2;184166_Kv3_1-ID-1;184341_Kv3_1-ID-1;184171_Kv3_1-ID-1;267587_Kv3_1-ID-12;184310_Kv3_1-ID-1;184176_Kv3_1-ID-1;184152_Kv3_1-ID-1;184274_Kv3_1-ID-1;184303_Kv3_1-ID-1;184202_Kv3_1-ID-1;184333_Kv3_1-ID-1;184319_Kv3_1-ID-1;267587_Kv3_1-ID-11;184339_Kv3_1-ID-1;184350_Kv3_1-ID-1;184327_Kv3_1-ID-1;184325_Kv3_1-ID-1;184196_Kv3_1-ID-1;184173_Kv3_1-ID-1;184184_Kv3_1-ID-1;184308_Kv3_1-ID-1;184231_Kv3_1-ID-1;184337_Kv3_1-ID-1;184180_Kv3_1-ID-1;184159_Kv3_1-ID-1
38,184157_Kd-ID-1,Other,50,184157_Kd-ID-1;184171_Kd-ID-1;184176_Kd-ID-1;184274_Kd-ID-1;184182_Kd-ID-1;184316_Kd-ID-1;184142_Kd-ID-1;184168_Kd-ID-1;184352_Kd-ID-1;184314_Kd-ID-2;184348_Kd-ID-1;184145_Kd-ID-1;184339_Kd-ID-1;184297_Kd-ID-1;184186_Kd-ID-1;184321_Kd-ID-1;184303_Kd-ID-1;184299_Kd-ID-1;184331_Kd-ID-1;184161_Kd-ID-1;184305_Kd-ID-1;184337_Kd-ID-1;184308_Kd-ID-1;184231_Kd-ID-1;184184_Kd-ID-1;184344_Kd-ID-1;184314_Kd-ID-1;184310_Kd-ID-1;184180_Kd-ID-1;184327_Kd-ID-1;184163_Kd-ID-1;184323_Kd-ID-1;184335_Kd-ID-1;184346_Kd-ID-1;184350_Kd-ID-1;184312_Kd-ID-1;184173_Kd-ID-1;184329_Kd-ID-1;184196_Kd-ID-1;184341_Kd-ID-1;184166_Kd-ID-1;184325_Kd-ID-1;184319_Kd-ID-1;184178_Kd-ID-1;184159_Kd-ID-1;184152_Kd-ID-1;184301_Kd-ID-1;184148_Kd-ID-1;184202_Kd-ID-1;184333_Kd-ID-1
41,184202_Ih-ID-1,Other,50,184202_Ih-ID-1;184325_Ih-ID-1;184316_Ih-ID-1;184152_Ih-ID-1;184184_Ih-ID-1;184329_Ih-ID-1;184346_Ih-ID-1;184231_Ih-ID-1;184145_Ih-ID-1;184171_Ih-ID-1;184274_Ih-ID-1;184305_Ih-ID-1;184303_Ih-ID-1;184323_Ih-ID-1;184196_Ih-ID-1;184301_Ih-ID-1;184163_Ih-ID-1;184314_Ih-ID-1;184148_Ih-ID-1;184339_Ih-ID-1;184312_Ih-ID-1;184327_Ih-ID-1;184333_Ih-ID-1;184178_Ih-ID-1;184344_Ih-ID-1;184180_Ih-ID-1;184341_Ih-ID-1;184157_Ih-ID-1;184337_Ih-ID-1;184308_Ih-ID-1;184350_Ih-ID-1;184331_Ih-ID-1;184173_Ih-ID-1;184321_Ih-ID-1;184319_Ih-ID-1;184182_Ih-ID-1;184176_Ih-ID-1;184186_Ih-ID-1;184299_Ih-ID-1;184168_Ih-ID-1;184142_Ih-ID-1;184352_Ih-ID-1;184310_Ih-ID-1;184166_Ih-ID-1;184314_Ih-ID-2;184335_Ih-ID-1;184348_Ih-ID-1;184161_Ih-ID-1;184159_Ih-ID-1;184297_Ih-ID-1
42,267728_AXNODENA2-ID-1,Other,1,267728_AXNODENA2-ID-1
43,267728_JUXTAIKF-ID-1,Other,1,267728_JUXTAIKF-ID-1
44,267728_AXNODE-ID-1,Other,1,267728_AXNODE-ID-1
45,267728_INTERIH-ID-1,Other,1,267728_INTERIH-ID-1
46,267728_xtra-ID-1,Other,1,267728_xtra-ID-1
